174 171 174 0.18
89 91 89 0.16
130 128 130 0.19
90 90 90 0.17
174 170 174 0.22
235 233 235 0.24
224 225 224 0.2
128 131 128 0.12
20 21 20 0.07
58 60 58 0.11
100 101 100 0.17
118 118 118 0.2
101 101 101 0.2
131 131 131 0.21
187 189 187 0.19
192 191 192 0.17
121 121 121 0.15
9 10 9 0.05
28 29 28 0.08
51 49 51 0.11
45 44 45 0.15
63 63 63 0.15
64 65 64 0.13
84 84 84 0.14
119 119 119 0.15
77 74 77 0.13
63 61 63 0.16
22 23 22 0.06
58 57 58 0.1
52 49 52 0.13
47 49 47 0.14
131 130 131 0.19
135 137 135 0.15
103 102 103 0.12
46 46 46 0.1
17 18 17 0.09
32 31 32 0.1
212 214 212 0.2
90 88 90 0.13
95 92 95 0.17
96 95 96 0.2
81 82 81 0.18
159 158 159 0.2
161 162 161 0.16
86 85 86 0.12
49 51 49 0.09
9 8 9 0.05
15 14 15 0.05
20 21 20 0.06
247 248 247 0.25
236 237 236 0.23
188 189 188 0.21
146 144 146 0.19
108 105 108 0.17
108 107 108 0.18
128 128 128 0.17
173 172 173 0.17
204 205 204 0.14
138 139 138 0.12
19 20 19 0.06
4 4 4 0.04
2 2 2 0.01
1 1 1 0.01
319 318 319 0.25
348 346 348 0.26
250 251 250 0.25
194 194 194 0.23
209 211 209 0.21
135 137 135 0.16
113 116 113 0.18
96 95 96 0.15
138 138 138 0.14
212 216 212 0.12
109 111 109 0.1
31 30 31 0.07
20 20 20 0.05
9 9 9 0.03
6 6 6 0.03
6 3 6 0.04
4 4 4 0.03
187 187 187 0.23
235 236 235 0.24
305 305 305 0.25
325 325 325 0.26
252 255 252 0.24
228 227 228 0.21
190 192 190 0.18
105 107 105 0.14
44 44 44 0.13
33 32 33 0.1
126 128 126 0.13
199 198 199 0.13
80 82 80 0.1
34 34 34 0.05
6 6 6 0.02
3 4 3 0.03
5 5 5 0.03
2 2 2 0.02
3 3 3 0.02
11 11 11 0.04
18 18 18 0.06
26 27 26 0.1
199 199 199 0.24
186 188 186 0.23
237 237 237 0.23
300 300 300 0.25
313 311 313 0.25
334 334 334 0.26
300 298 300 0.25
234 236 234 0.2
141 141 141 0.16
83 83 83 0.14
47 46 47 0.13
45 47 45 0.13
142 142 142 0.15
138 138 138 0.14
78 78 78 0.09
17 18 17 0.04
2 3 2 0.01
1 1 1 0.01
1 1 1 0.01
2 2 2 0.01
2 2 2 0.01
18 17 18 0.05
19 19 19 0.07
30 31 30 0.08
22 20 22 0.06
101 99 101 0.17
113 110 113 0.19
122 121 122 0.21
164 163 164 0.22
254 256 254 0.25
321 321 321 0.26
310 310 310 0.26
286 288 286 0.24
133 132 133 0.19
113 109 113 0.19
109 108 109 0.14
69 68 69 0.14
64 62 64 0.13
89 89 89 0.13
79 80 79 0.11
57 59 57 0.09
19 19 19 0.05
6 6 6 0.02
4 4 4 0.02
6 5 6 0.03
3 3 3 0.02
15 15 15 0.06
4 5 4 0.03
12 12 12 0.05
5 6 5 0.03
10 13 10 0.04
43 42 43 0.07
28 30 28 0.07
38 45 38 0.1
136 136 136 0.13
105 103 105 0.12
82 84 82 0.12
74 73 74 0.16
134 135 134 0.21
260 263 260 0.25
307 303 307 0.25
273 273 273 0.24
115 117 115 0.19
63 63 63 0.12
49 48 49 0.11
53 53 53 0.09
51 51 51 0.09
50 49 50 0.1
70 70 70 0.1
50 49 50 0.1
37 37 37 0.07
22 22 22 0.06
33 31 33 0.06
30 32 30 0.08
14 12 14 0.06
33 30 33 0.09
31 31 31 0.09
19 18 19 0.05
13 12 13 0.04
5 5 5 0.03
23 23 23 0.06
15 14 15 0.06
7 6 7 0.04
8 8 8 0.05
69 68 69 0.12
19 19 19 0.08
47 48 47 0.09
97 96 97 0.1
89 88 89 0.09
17 17 17 0.06
17 16 17 0.07
89 93 89 0.19
211 212 211 0.24
260 260 260 0.24
167 169 167 0.18
58 56 58 0.12
40 39 40 0.08
33 32 33 0.06
62 63 62 0.09
33 33 33 0.08
42 44 42 0.08
37 36 37 0.08
37 35 37 0.1
49 49 49 0.1
66 63 66 0.1
59 56 59 0.13
61 60 61 0.13
124 122 124 0.15
107 109 107 0.15
13 14 13 0.04
23 23 23 0.05
13 15 13 0.03
6 5 6 0.04
